Obj name,weight,Augmented parameter,
LagrangianLscmStArea,1.35,1,
LagrangianAreaStLscm,0,1,
Positional Constraints,50,1,

Round 0
0.77942,0,-0.779419,0,-1.35,1.35,0.512885,,-2.84708e-17
0,2.33828,-2.33828,1.35,0,-1.35,0,,-8.5413e-17
0,0,3.1177,-1.35,1.35,0,-0.512885,,1.13884e-16
0,0,0,0.77942,0,-0.779419,0,,-4.9313e-17
0,0,0,0,2.33828,-2.33828,0.888347,,4.9313e-17
0,0,0,0,0,3.1177,-0.888347,,-8.31993e-33
0,0,0,0,0,0,1e-06,,0

Round 1
0.77942,0,-0.779419,0,-1.35,1.35,0.512885,,0
0,2.33828,-2.33828,1.35,0,-1.35,-7.49393e-17,,0
0,0,3.1177,-1.35,1.35,0,-0.512885,,0
0,0,0,0.77942,0,-0.779419,0,,0
0,0,0,0,2.33828,-2.33828,0.888347,,0
0,0,0,0,0,3.1177,-0.888347,,0
0,0,0,0,0,0,1e-06,,0

Round 2
0.77942,0,-0.779419,0,-1.35,1.35,0.512885,,0
0,2.33828,-2.33828,1.35,0,-1.35,-7.49393e-17,,0
0,0,3.1177,-1.35,1.35,0,-0.512885,,0
0,0,0,0.77942,0,-0.779419,0,,0
0,0,0,0,2.33828,-2.33828,0.888347,,0
0,0,0,0,0,3.1177,-0.888347,,0
0,0,0,0,0,0,1e-06,,0

Round 3
0.77942,0,-0.779419,0,-1.35,1.35,0.512885,,0
0,2.33828,-2.33828,1.35,0,-1.35,-7.49393e-17,,0
0,0,3.1177,-1.35,1.35,0,-0.512885,,0
0,0,0,0.77942,0,-0.779419,0,,0
0,0,0,0,2.33828,-2.33828,0.888347,,0
0,0,0,0,0,3.1177,-0.888347,,0
0,0,0,0,0,0,1e-06,,0

Round 4
0.77942,0,-0.779419,0,-1.35,1.35,0.512885,,0
0,2.33828,-2.33828,1.35,0,-1.35,-7.49393e-17,,0
0,0,3.1177,-1.35,1.35,0,-0.512885,,0
0,0,0,0.77942,0,-0.779419,0,,0
0,0,0,0,2.33828,-2.33828,0.888347,,0
0,0,0,0,0,3.1177,-0.888347,,0
0,0,0,0,0,0,1e-06,,0

Round 5
0.77942,0,-0.779419,0,-1.35,1.35,0.512885,,0
0,2.33828,-2.33828,1.35,0,-1.35,-7.49393e-17,,0
0,0,3.1177,-1.35,1.35,0,-0.512885,,0
0,0,0,0.77942,0,-0.779419,0,,0
0,0,0,0,2.33828,-2.33828,0.888347,,0
0,0,0,0,0,3.1177,-0.888347,,0
0,0,0,0,0,0,1e-06,,0

Round 6
0.77942,0,-0.779419,0,-1.35,1.35,0.512885,,0
0,2.33828,-2.33828,1.35,0,-1.35,-7.49393e-17,,0
0,0,3.1177,-1.35,1.35,0,-0.512885,,0
0,0,0,0.77942,0,-0.779419,0,,0
0,0,0,0,2.33828,-2.33828,0.888347,,0
0,0,0,0,0,3.1177,-0.888347,,0
0,0,0,0,0,0,1e-06,,0

Round 7
0.77942,0,-0.779419,0,-1.35,1.35,0.512885,,0
0,2.33828,-2.33828,1.35,0,-1.35,-7.49393e-17,,0
0,0,3.1177,-1.35,1.35,0,-0.512885,,0
0,0,0,0.77942,0,-0.779419,0,,0
0,0,0,0,2.33828,-2.33828,0.888347,,0
0,0,0,0,0,3.1177,-0.888347,,0
0,0,0,0,0,0,1e-06,,0

Round 8
0.77942,0,-0.779419,0,-1.35,1.35,0.512885,,0
0,2.33828,-2.33828,1.35,0,-1.35,-7.49393e-17,,0
0,0,3.1177,-1.35,1.35,0,-0.512885,,0
0,0,0,0.77942,0,-0.779419,0,,0
0,0,0,0,2.33828,-2.33828,0.888347,,0
0,0,0,0,0,3.1177,-0.888347,,0
0,0,0,0,0,0,1e-06,,0

Round 9
0.77942,0,-0.779419,0,-1.35,1.35,0.512885,,0
0,2.33828,-2.33828,1.35,0,-1.35,-7.49393e-17,,0
0,0,3.1177,-1.35,1.35,0,-0.512885,,0
0,0,0,0.77942,0,-0.779419,0,,0
0,0,0,0,2.33828,-2.33828,0.888347,,0
0,0,0,0,0,3.1177,-0.888347,,0
0,0,0,0,0,0,1e-06,,0

Round 10
0.77942,0,-0.779419,0,-1.35,1.35,0.512885,,0
0,2.33828,-2.33828,1.35,0,-1.35,-7.49393e-17,,0
0,0,3.1177,-1.35,1.35,0,-0.512885,,0
0,0,0,0.77942,0,-0.779419,0,,0
0,0,0,0,2.33828,-2.33828,0.888347,,0
0,0,0,0,0,3.1177,-0.888347,,0
0,0,0,0,0,0,1e-06,,0

Round 11
0.77942,0,-0.779419,0,-1.35,1.35,0.512885,,0
0,2.33828,-2.33828,1.35,0,-1.35,-7.49393e-17,,0
0,0,3.1177,-1.35,1.35,0,-0.512885,,0
0,0,0,0.77942,0,-0.779419,0,,0
0,0,0,0,2.33828,-2.33828,0.888347,,0
0,0,0,0,0,3.1177,-0.888347,,0
0,0,0,0,0,0,1e-06,,0

Round 12
0.77942,0,-0.779419,0,-1.35,1.35,0.512885,,0
0,2.33828,-2.33828,1.35,0,-1.35,-7.49393e-17,,0
0,0,3.1177,-1.35,1.35,0,-0.512885,,0
0,0,0,0.77942,0,-0.779419,0,,0
0,0,0,0,2.33828,-2.33828,0.888347,,0
0,0,0,0,0,3.1177,-0.888347,,0
0,0,0,0,0,0,1e-06,,0

Round 13
0.77942,0,-0.779419,0,-1.35,1.35,0.512885,,0
0,2.33828,-2.33828,1.35,0,-1.35,-7.49393e-17,,0
0,0,3.1177,-1.35,1.35,0,-0.512885,,0
0,0,0,0.77942,0,-0.779419,0,,0
0,0,0,0,2.33828,-2.33828,0.888347,,0
0,0,0,0,0,3.1177,-0.888347,,0
